ts,changchun,haerbin,jinan,shenyang,taiyuan,tianjin,wulanchabu
50,100.0,100.0,98.24,0.79,100.0,0.41,100.0
55,100.0,100.0,98.24,0.79,100.0,0.41,100.0
60,100.0,100.0,100.0,0.79,100.0,100.0,100.0
65,100.0,100.0,100.0,0.79,100.0,100.0,100.0
70,100.0,100.0,100.0,0.79,100.0,100.0,100.0
75,100.0,100.0,100.0,0.79,100.0,100.0,100.0
80,100.0,100.0,100.0,0.79,100.0,100.0,100.0
85,100.0,100.0,100.0,0.79,100.0,100.0,100.0
90,100.0,100.0,100.0,0.79,100.0,100.0,100.0
95,100.0,100.0,100.0,0.79,100.0,100.0,100.0
100,100.0,100.0,100.0,0.79,100.0,100.0,100.0
105,100.0,100.0,100.0,0.79,100.0,100.0,100.0
110,100.0,100.0,100.0,0.79,100.0,100.0,100.0
115,100.0,100.0,100.0,0.79,100.0,100.0,100.0
120,100.0,100.0,100.0,0.8,100.0,100.0,100.0
125,100.0,100.0,100.0,0.79,100.0,100.0,100.0
130,100.0,100.0,100.0,0.79,100.0,100.0,100.0
135,100.0,100.0,100.0,0.79,100.0,100.0,100.0
140,100.0,100.0,100.0,0.79,100.0,100.0,100.0
145,100.0,100.0,100.0,0.79,100.0,100.0,99.17
150,100.0,100.0,100.0,0.79,100.0,100.0,66.06
155,100.0,100.0,100.0,0.79,100.0,100.0,62.26
160,100.0,100.0,100.0,0.79,100.0,100.0,62.26
165,25.25,100.0,100.0,0.79,100.0,100.0,61.82
170,11.43,100.0,100.0,0.79,100.0,100.0,61.82
175,11.43,100.0,100.0,0.79,100.0,100.0,61.82
180,100.0,100.0,100.0,74.0,100.0,100.0,57.06
185,100.0,100.0,100.0,70.93,100.0,100.0,62.26
190,100.0,100.0,100.0,70.93,100.0,100.0,62.26
195,100.0,100.0,100.0,70.93,100.0,100.0,62.26
200,100.0,100.0,100.0,70.93,100.0,100.0,61.98
205,100.0,100.0,100.0,70.93,100.0,100.0,61.82
210,100.0,100.0,100.0,70.93,100.0,100.0,61.82
215,100.0,100.0,100.0,70.93,100.0,100.0,61.82
220,100.0,100.0,100.0,70.93,100.0,100.0,61.82
225,100.0,100.0,100.0,70.93,100.0,100.0,61.82
230,75.41,100.0,100.0,70.93,100.0,0.41,61.82
