ts,changsha,foshan,fuzhou,guangzhou,guiyang,kunming,nanchang,nanning,xiamen
50,0.67,100.0,0.24,35.84,1.12,100.0,27.88,100.0,100.0
55,2.26,100.0,0.24,36.06,1.12,100.0,27.88,100.0,100.0
60,24.86,100.0,17.76,92.67,1.13,100.0,0.04,100.0,100.0
65,13.04,100.0,0.24,23.89,1.13,100.0,0.04,100.0,100.0
70,22.02,100.0,0.24,23.89,1.13,100.0,0.04,100.0,100.0
75,27.57,100.0,0.24,23.89,1.13,100.0,0.04,100.0,100.0
80,27.57,100.0,0.24,23.89,1.13,100.0,0.04,100.0,100.0
85,27.57,100.0,0.24,23.89,1.13,100.0,0.04,100.0,100.0
90,27.57,100.0,0.24,23.89,1.13,100.0,0.04,100.0,100.0
95,27.5,100.0,0.24,23.89,1.13,100.0,0.04,100.0,100.0
100,38.59,100.0,0.24,23.89,1.13,100.0,0.04,100.0,100.0
105,51.67,100.0,0.24,23.89,1.13,100.0,0.04,94.08,100.0
110,51.67,100.0,0.24,23.89,1.13,100.0,19.36,94.08,100.0
115,51.67,100.0,0.24,23.89,1.13,100.0,98.6,94.08,100.0
120,50.2,100.0,0.35,100.0,1.25,100.0,66.02,94.08,100.0
125,58.22,100.0,0.24,100.0,1.49,100.0,1.21,94.08,100.0
130,55.9,100.0,0.24,100.0,1.51,100.0,0.04,100.0,100.0
135,45.69,87.28,0.24,100.0,1.61,100.0,0.04,100.0,100.0
140,45.69,87.28,0.24,100.0,1.12,100.0,0.04,100.0,100.0
145,45.69,87.28,0.24,100.0,1.12,100.0,0.04,100.0,100.0
150,45.69,87.28,0.24,100.0,1.12,100.0,0.04,23.59,100.0
155,45.69,87.28,0.24,100.0,1.7,100.0,0.04,23.59,100.0
160,45.69,87.28,0.24,100.0,2.93,100.0,0.04,23.59,100.0
165,45.69,87.28,0.24,100.0,2.93,100.0,0.04,23.59,100.0
170,45.69,87.28,0.24,100.0,2.93,100.0,0.04,23.59,100.0
175,45.69,87.28,0.24,100.0,2.93,100.0,0.04,23.59,100.0
180,45.71,2.91,0.24,100.0,2.93,100.0,76.13,33.46,100.0
185,45.69,44.49,0.24,100.0,2.93,100.0,64.84,33.41,100.0
190,45.69,83.75,0.24,100.0,2.93,100.0,64.84,23.59,100.0
195,45.69,83.75,0.24,100.0,2.93,100.0,64.84,23.59,100.0
200,45.69,83.75,0.24,100.0,2.93,100.0,64.84,23.59,100.0
205,45.69,83.75,0.24,100.0,2.93,100.0,64.84,23.59,100.0
210,45.69,83.75,0.24,100.0,2.93,100.0,64.84,23.59,100.0
215,45.69,83.75,0.24,100.0,2.93,100.0,64.84,23.59,100.0
220,45.69,83.75,0.24,100.0,2.93,100.0,64.84,23.59,100.0
225,45.69,83.75,0.24,100.0,2.93,100.0,64.84,23.59,100.0
230,45.69,83.75,0.24,100.0,2.93,100.0,64.84,25.48,100.0
235,45.69,100.0,0.24,100.0,2.93,100.0,64.84,99.24,100.0
240,45.69,100.0,0.24,100.0,1.64,100.0,100.0,100.0,100.0
245,45.69,100.0,0.24,100.0,1.69,100.0,100.0,100.0,100.0
250,45.69,100.0,0.24,100.0,1.69,100.0,100.0,100.0,100.0
255,45.69,100.0,0.24,100.0,1.69,100.0,100.0,100.0,100.0
260,45.69,100.0,0.24,100.0,1.61,100.0,100.0,100.0,100.0
265,45.69,100.0,0.24,100.0,1.61,100.0,100.0,100.0,100.0
270,45.69,100.0,0.24,100.0,1.61,100.0,100.0,100.0,100.0
275,45.69,100.0,0.24,100.0,1.61,100.0,100.0,100.0,100.0
280,45.69,100.0,0.24,100.0,1.61,100.0,100.0,100.0,100.0
285,45.69,100.0,0.24,100.0,1.61,100.0,100.0,100.0,100.0
290,45.69,100.0,0.24,100.0,1.61,100.0,100.0,100.0,100.0
295,45.69,100.0,0.24,100.0,1.61,100.0,100.0,100.0,100.0
300,1.89,0.06,0.24,16.57,93.87,100.0,0.04,98.67,4.38
305,1.89,0.06,0.24,16.57,93.9,100.0,0.04,92.32,4.38
310,88.54,0.06,0.24,16.57,92.2,100.0,0.04,92.32,4.38
315,94.59,49.82,0.24,12.47,92.09,100.0,0.04,92.32,4.38
320,72.22,83.58,0.24,33.73,92.09,100.0,0.04,92.32,4.38
