ts,changsha,foshan,fuzhou,guangzhou,guiyang,kunming,nanchang,nanning,xiamen
50,100.0,100.0,100.0,4.46,100.0,10.0,100.0,100.0,4.66
55,100.0,100.0,100.0,4.46,100.0,10.0,100.0,100.0,4.66
60,43.33,100.0,2.78,9.48,100.0,13.48,100.0,100.0,4.66
65,43.33,100.0,2.78,9.48,100.0,10.0,100.0,100.0,4.66
70,43.33,100.0,2.78,9.48,100.0,10.0,100.0,100.0,4.66
75,43.33,100.0,2.78,9.48,100.0,10.0,100.0,100.0,4.66
80,43.33,100.0,2.78,9.48,100.0,10.0,100.0,100.0,4.66
85,43.33,100.0,2.78,9.48,100.0,10.0,100.0,100.0,4.66
90,43.33,100.0,2.78,9.48,100.0,10.0,100.0,100.0,4.66
95,43.33,100.0,2.78,9.48,100.0,10.0,100.0,100.0,4.66
100,42.81,100.0,2.78,9.48,100.0,12.38,100.0,100.0,4.66
105,38.68,100.0,2.78,9.48,100.0,42.02,100.0,100.0,13.17
110,38.68,84.85,2.78,9.48,100.0,10.0,100.0,100.0,93.23
115,38.68,0.02,2.78,9.48,100.0,10.0,100.0,100.0,93.23
120,38.68,100.0,2.87,9.47,100.0,10.0,100.0,100.0,94.21
125,38.68,100.0,2.78,9.48,100.0,10.0,100.0,100.0,97.64
130,38.68,100.0,2.78,9.48,100.0,10.0,100.0,100.0,97.64
135,38.68,62.56,2.78,9.48,100.0,10.0,100.0,100.0,97.64
140,38.68,0.02,2.78,9.48,100.0,10.0,100.0,100.0,97.64
145,38.68,0.02,2.78,9.48,100.0,10.0,100.0,100.0,97.64
150,38.68,0.02,2.78,9.48,100.0,10.0,11.72,100.0,97.64
155,38.68,0.02,2.78,9.48,100.0,10.0,1.59,100.0,97.64
160,38.68,0.02,2.78,9.48,100.0,10.0,1.59,100.0,97.64
165,38.68,0.02,2.78,9.48,100.0,10.0,1.59,100.0,100.0
170,38.68,0.02,49.77,9.48,100.0,10.0,1.59,100.0,100.0
175,38.68,0.02,49.77,9.48,100.0,10.0,1.59,100.0,100.0
180,38.68,100.0,100.0,9.48,100.0,10.0,1.59,100.0,100.0
185,38.68,100.0,100.0,9.48,100.0,10.0,1.59,100.0,97.64
190,38.68,100.0,100.0,9.48,100.0,10.0,1.59,100.0,97.64
195,38.68,100.0,100.0,9.48,100.0,10.0,1.59,100.0,97.64
200,38.68,100.0,100.0,9.48,100.0,10.0,1.59,100.0,97.64
205,38.68,100.0,100.0,9.48,100.0,10.0,1.59,100.0,97.64
210,38.68,100.0,100.0,9.48,100.0,10.0,1.59,100.0,97.64
215,38.68,100.0,100.0,9.48,100.0,10.0,1.59,100.0,97.64
220,38.68,100.0,100.0,9.48,100.0,10.0,1.59,100.0,97.64
