ts,haerbin,jinan,shenyang,shijiazhuang,taiyuan,tianjin,wulanchabu
50,8.99,7.44,12.51,44.64,20.52,9.3,1.13
55,10.03,7.54,13.71,44.04,19.95,8.69,1.11
60,10.28,7.55,15.06,44.53,18.34,8.0,1.07
65,9.73,7.5,14.18,43.01,16.66,7.11,1.01
70,10.77,7.36,13.02,42.23,14.77,6.2,0.95
75,11.5,7.18,11.93,39.09,12.67,5.34,0.86
80,11.19,7.06,10.79,34.61,10.91,4.58,0.78
85,11.47,6.89,9.57,30.55,8.89,4.02,0.7
90,11.54,6.68,8.36,26.05,6.88,3.22,0.59
95,11.79,6.47,7.3,21.52,4.82,3.32,0.51
100,14.39,6.28,4.92,17.68,3.37,3.09,0.46
