ts,beijing_dongguan,beijing_nanjing,dongguan_beijing,dongguan_nanjing,nanjing_beijing,nanjing_dongguan
50,1.77,3.53,0.99,2.76,2.53,69.29
55,1.77,3.53,1.04,2.74,2.45,69.29
60,0.66,4.99,1.14,3.64,2.31,69.53
65,0.81,4.84,0.95,2.75,2.43,69.38
70,0.89,4.75,1.07,2.75,2.43,69.29
75,0.89,4.75,1.14,2.75,2.19,69.29
80,0.89,4.75,1.14,2.75,2.19,69.29
85,0.89,4.75,1.14,2.75,2.19,69.29
90,0.89,4.75,1.14,2.75,2.19,69.29
95,0.89,4.75,1.14,2.75,2.19,69.29
100,0.89,4.75,1.28,2.75,2.12,69.29
105,0.89,4.75,1.44,2.74,2.12,69.29
110,0.88,4.77,1.44,2.79,2.12,69.29
115,0.81,4.84,1.44,2.98,2.12,69.29
120,0.81,4.84,1.36,4.03,2.2,69.37
125,0.81,4.83,1.36,4.14,2.2,69.37
130,0.81,4.83,1.3,4.21,2.2,69.37
135,0.81,4.83,1.15,4.27,2.2,69.34
140,0.81,4.83,1.15,3.95,2.2,69.29
145,0.81,4.83,1.33,3.77,2.2,69.29
150,0.6,4.83,1.2,3.66,2.36,69.29
155,0.57,4.83,1.58,3.66,1.98,69.29
160,0.57,4.83,2.4,3.66,1.16,69.29
165,0.57,4.77,2.4,3.66,1.15,69.29
170,0.67,4.67,2.4,3.66,1.15,69.29
175,0.67,4.67,2.4,3.66,1.15,69.29
180,0.86,4.64,2.54,3.67,1.18,69.29
185,0.86,4.67,2.56,3.66,1.15,69.29
190,0.86,4.67,2.56,3.66,1.15,69.29
195,0.86,4.67,2.56,3.66,1.15,69.29
200,0.86,4.66,2.56,3.66,1.15,69.29
205,0.86,4.66,2.56,3.66,1.15,69.29
210,0.86,4.66,2.56,3.66,1.15,69.29
215,0.86,4.66,2.56,3.66,1.15,69.29
220,0.86,4.66,2.56,3.66,1.15,69.29
225,0.86,4.66,2.56,3.66,1.15,69.29
230,1.81,3.38,2.56,3.66,1.15,69.29
235,1.81,3.38,2.53,3.95,1.19,69.29
240,2.02,3.8,2.27,3.43,1.35,69.29
245,2.02,3.8,2.3,3.43,1.37,69.29
250,2.02,3.8,2.3,3.43,1.37,69.29
255,2.02,3.8,2.3,3.43,1.41,69.29
260,2.02,3.8,2.21,3.46,1.5,69.29
265,2.02,3.8,2.32,3.36,1.39,69.29
270,2.02,3.8,2.32,3.36,1.39,69.29
275,2.02,3.8,2.32,3.36,1.39,69.29
280,2.02,3.8,2.32,3.36,1.39,69.29
285,2.02,3.8,2.32,3.36,1.39,69.29
290,2.13,3.69,2.32,3.36,1.39,69.29
295,2.15,3.62,2.32,3.36,1.39,69.29
300,1.7,4.01,1.83,63.3,1.88,69.29
305,1.75,4.01,1.83,63.3,1.88,69.29
310,1.76,4.01,1.83,63.3,1.88,69.29
315,1.76,4.01,1.82,63.3,1.89,69.29
320,1.76,4.01,1.83,63.3,1.88,69.29
325,1.76,4.01,1.83,63.3,1.88,69.29
330,1.76,4.01,1.83,63.3,1.88,69.29
335,1.76,4.01,1.83,63.3,1.88,69.29
340,1.76,4.01,1.83,63.3,1.88,69.29
345,1.76,4.01,1.83,63.3,1.88,69.29
350,1.76,4.01,1.95,63.3,1.76,69.29
355,1.76,4.01,1.99,63.3,1.73,69.29
360,1.76,4.01,1.99,63.3,1.73,69.29
365,1.76,4.01,1.99,63.3,1.73,69.29
370,1.76,4.01,1.99,63.3,1.73,69.29
375,1.76,4.01,1.99,63.3,1.73,69.29
380,1.76,4.01,1.99,63.3,1.73,69.29
385,1.76,4.01,1.99,63.3,1.73,69.29
390,1.81,3.97,1.99,63.3,1.73,69.29
395,1.9,3.92,1.99,63.32,1.73,69.1
400,1.88,3.94,1.99,63.3,1.73,68.98
405,1.88,3.94,1.99,63.3,1.73,68.98
410,1.88,3.94,1.99,63.3,1.73,68.98
415,1.88,3.94,1.99,63.3,1.73,68.98
420,1.88,3.94,1.99,63.3,1.73,68.98
425,1.88,3.94,1.99,63.3,1.73,68.98
430,1.88,3.94,1.91,63.3,1.8,68.98
435,1.88,3.94,1.91,63.3,1.8,68.98
440,1.88,3.94,1.91,63.3,1.8,68.98
445,1.88,3.94,1.91,63.3,1.8,68.98
450,1.88,3.94,1.91,63.3,1.8,68.98
455,1.88,3.94,1.91,63.3,1.8,68.98
460,1.88,3.94,1.91,63.3,1.8,68.98
465,1.88,3.94,1.91,63.3,1.8,68.98
470,2.13,3.69,1.91,63.55,1.8,68.98
475,2.45,3.38,1.91,63.87,1.8,68.98
480,2.45,3.38,1.91,63.87,1.8,68.98
485,2.45,3.38,1.91,63.87,1.8,68.98
490,2.45,3.38,1.91,63.87,1.8,68.98
495,2.45,3.38,1.91,63.87,1.8,68.98
500,2.45,3.38,1.91,63.87,1.8,68.98
505,2.45,3.38,1.91,63.87,1.8,68.98
510,2.45,3.38,1.91,63.87,1.8,68.98
515,2.45,3.38,1.91,63.87,1.8,68.98
520,2.45,3.38,1.91,63.87,1.8,68.98
525,2.45,3.38,1.91,63.87,1.8,68.98
530,2.45,3.38,1.91,63.87,1.8,68.98
535,2.45,3.38,1.91,63.87,1.8,68.98
540,2.4,3.38,1.91,63.87,1.8,68.98
545,2.4,3.38,1.91,63.87,1.8,68.98
550,2.4,3.38,1.91,63.87,1.8,68.98
555,2.4,3.38,1.91,63.87,1.8,68.98
560,2.4,3.38,1.91,63.87,1.8,68.98
565,2.4,3.38,1.91,63.87,1.8,68.98
570,2.4,3.38,1.91,63.87,1.8,68.98
575,2.4,3.38,1.97,63.87,1.74,68.98
580,2.4,3.38,1.99,63.87,1.73,68.98
585,2.4,3.38,1.99,63.87,1.73,68.98
590,2.4,3.38,1.99,63.87,1.73,68.98
595,2.4,3.38,1.99,63.87,1.73,68.98
600,2.39,3.31,1.99,63.92,1.84,68.92
605,2.39,3.31,1.99,63.92,1.84,68.92
610,2.39,3.31,1.99,63.92,1.84,68.92
615,2.39,3.31,1.99,63.92,1.84,68.92
620,2.39,3.31,1.99,63.92,1.84,68.92
625,2.39,3.31,1.99,63.92,1.84,68.92
630,2.39,3.31,2.05,63.92,1.78,68.92
635,2.45,3.3,2.02,63.92,1.81,59.46
640,1.41,3.31,1.99,63.92,1.84,16.26
645,1.41,3.31,1.99,63.92,1.84,16.26
650,1.41,3.31,1.99,63.92,1.84,16.26
655,1.41,3.31,1.99,63.92,1.84,16.26
660,1.36,3.31,1.99,63.92,1.84,16.3
665,1.36,3.31,1.99,63.92,1.84,16.3
670,1.37,3.31,1.99,63.92,1.84,16.29
675,1.37,3.3,1.99,63.92,1.84,16.29
680,1.37,3.3,1.99,63.92,1.84,16.29
685,1.38,3.3,1.99,63.92,1.84,16.22
690,1.38,3.3,1.99,63.92,1.84,16.21
695,1.38,3.3,1.99,63.92,1.84,16.21
700,1.38,3.3,1.99,63.92,1.84,16.21
705,1.38,3.3,1.99,63.92,1.84,16.21
710,1.43,3.3,1.99,63.92,1.84,16.21
715,1.45,3.3,1.99,63.92,1.84,16.21
720,1.45,3.3,1.99,63.92,1.84,16.21
725,1.34,3.37,1.99,63.92,1.84,16.5
730,1.37,3.34,1.99,63.92,1.84,16.47
735,1.39,3.32,1.99,63.92,1.84,16.45
740,1.39,3.32,1.99,63.92,1.84,16.45
745,1.39,3.32,1.99,63.92,1.84,16.45
750,1.39,3.32,1.99,63.92,1.84,16.45
755,1.39,3.32,1.99,63.92,1.84,16.45
760,1.39,3.32,1.99,63.92,1.84,16.45
765,1.39,3.32,1.99,63.92,1.84,16.45
770,1.39,3.32,1.99,63.92,1.84,16.45
775,1.39,3.32,1.99,63.92,1.84,16.45
780,1.36,3.32,1.99,63.92,1.84,16.45
785,1.28,3.32,1.99,63.92,1.84,16.45
790,1.28,3.32,1.99,63.92,1.84,16.45
795,1.28,3.32,1.99,63.92,1.84,16.45
800,1.28,3.32,1.99,63.92,1.84,16.45
805,1.28,3.32,1.99,63.92,1.84,16.45
810,1.28,3.32,1.99,63.92,1.84,16.45
815,1.28,3.32,1.99,63.92,1.84,16.45
820,1.28,3.32,1.99,63.92,1.84,16.45
825,1.28,3.32,1.99,63.92,1.84,16.45
830,1.28,3.32,1.99,63.92,1.84,16.45
835,1.28,3.32,1.99,63.92,1.84,16.45
840,1.28,3.32,1.99,63.92,1.84,16.45
845,1.16,3.3,1.99,63.92,1.84,16.53
850,1.16,3.3,1.99,63.92,1.84,16.53
855,1.16,3.3,1.99,63.92,1.84,16.53
860,1.16,3.3,1.99,63.92,1.84,16.53
865,1.16,3.3,1.99,63.92,1.84,16.53
870,1.16,3.3,1.99,63.92,1.84,16.53
875,1.16,3.3,1.98,63.92,1.84,16.53
880,1.16,3.3,1.98,63.92,1.84,16.53
885,1.16,3.3,1.98,63.92,1.84,16.53
890,1.16,3.3,1.98,63.92,1.84,16.53
895,1.16,3.3,1.98,63.92,1.84,16.53
900,1.16,3.3,1.98,63.92,1.84,16.53
905,1.16,3.3,1.98,63.92,1.84,16.53
910,1.16,3.3,1.98,63.92,1.84,16.53
915,1.16,3.3,1.98,63.92,1.84,16.47
920,1.16,3.3,1.98,63.92,1.84,16.45
925,1.16,3.3,1.98,63.92,1.84,16.45
930,1.16,3.3,1.98,63.92,1.84,16.45
935,1.16,3.3,1.98,63.92,1.84,16.45
940,1.16,3.3,1.98,63.92,1.84,16.45
945,1.16,3.3,2.03,63.92,1.79,16.45
950,1.16,3.3,2.56,63.92,1.27,16.45
955,1.16,3.3,2.56,63.92,1.27,16.45
960,1.16,3.3,2.56,63.92,1.27,16.45
965,1.16,3.3,2.56,63.92,1.27,16.45
970,1.16,3.3,2.55,63.92,1.27,16.45
975,1.3,3.3,2.55,63.92,1.27,16.42
980,1.41,3.3,2.55,63.92,1.27,16.32
985,1.41,3.3,2.55,63.92,1.27,16.32
990,2.08,3.3,2.55,63.92,1.27,15.65
995,2.12,3.3,2.55,63.92,1.27,15.33
