ts,hefei,ningbo,wuhan,wuxi
50,4.31,100.0,90.99,100.0
55,4.31,100.0,90.87,100.0
60,45.65,100.0,90.98,100.0
65,4.31,32.05,90.98,100.0
70,4.31,4.79,90.98,73.78
75,4.31,4.79,90.98,0.61
80,4.31,4.79,90.98,0.61
85,4.31,4.79,90.98,0.61
90,4.31,4.79,90.98,0.61
95,4.31,4.79,90.98,0.61
100,4.31,4.79,90.87,0.61
105,4.31,4.79,90.87,0.61
110,4.31,4.79,90.87,0.61
115,4.31,4.79,90.87,0.61
120,100.0,4.79,90.87,25.6
125,100.0,4.79,90.87,25.6
130,100.0,4.79,90.87,26.21
135,100.0,4.79,90.87,16.24
140,100.0,4.79,90.87,0.61
145,100.0,4.79,90.88,0.61
150,100.0,4.79,91.12,0.61
155,100.0,100.0,90.54,0.61
160,100.0,30.19,89.31,0.61
165,100.0,4.79,89.31,0.61
170,100.0,4.79,89.31,0.61
175,100.0,4.79,89.31,0.61
180,100.0,4.79,89.34,0.61
185,100.0,4.79,89.31,0.61
190,100.0,4.79,89.31,0.61
195,100.0,4.79,89.31,0.61
200,100.0,4.79,89.31,0.61
205,100.0,4.79,89.31,0.61
210,100.0,4.79,89.31,0.61
215,100.0,4.79,89.31,0.61
220,100.0,4.79,89.31,0.61
225,100.0,4.79,89.31,0.61
230,100.0,4.79,89.31,0.61
235,100.0,4.79,89.36,0.61
240,100.0,6.14,89.12,100.0
245,100.0,4.79,89.15,100.0
250,100.0,4.79,89.15,100.0
255,100.0,4.79,89.2,100.0
260,100.0,4.79,89.38,92.15
265,100.0,4.79,89.38,59.3
270,100.0,4.79,89.38,59.3
275,100.0,4.79,89.38,59.3
280,100.0,4.79,89.38,59.3
285,100.0,4.79,89.38,59.3
290,100.0,4.79,89.38,59.3
295,100.0,4.79,89.38,59.3
300,4.31,4.79,90.27,50.74
305,4.31,4.79,90.27,50.74
310,4.31,4.79,90.27,50.74
315,4.31,4.79,90.27,54.71
320,4.31,4.79,90.27,50.74
325,4.31,4.79,90.27,50.74
330,4.31,4.79,90.27,50.74
335,4.31,4.79,90.27,50.74
340,4.31,4.79,90.27,50.74
345,4.31,4.79,90.27,50.74
350,4.31,4.79,90.09,50.74
355,4.31,4.79,90.04,50.74
360,4.31,4.79,90.04,50.74
365,4.31,4.79,90.04,50.74
370,4.31,4.79,90.04,50.74
375,4.31,4.79,90.04,50.74
380,4.31,4.79,90.04,50.74
385,4.31,4.79,90.04,50.74
390,4.31,4.79,90.04,50.74
395,4.31,4.79,89.75,50.74
400,4.31,4.79,89.57,50.74
405,4.31,4.79,89.57,50.74
410,4.31,4.79,89.57,50.74
415,4.31,4.79,89.57,50.74
420,4.31,4.79,89.57,50.74
425,4.31,4.79,89.57,50.74
430,100.0,4.79,89.57,50.74
435,100.0,4.79,89.57,50.74
440,100.0,4.79,89.57,50.74
445,100.0,4.79,89.57,50.74
450,100.0,4.79,89.57,50.74
455,100.0,4.79,89.57,50.74
460,100.0,4.79,89.57,50.74
465,100.0,4.79,89.57,50.74
470,100.0,4.79,89.57,50.74
475,100.0,4.79,89.57,50.74
480,100.0,4.79,89.57,50.74
485,100.0,4.79,89.57,50.74
490,100.0,4.79,89.57,50.74
495,100.0,4.79,89.57,50.74
500,100.0,4.79,89.57,50.74
505,100.0,4.79,89.57,50.74
510,100.0,4.79,89.57,50.74
515,100.0,4.79,89.57,50.74
520,100.0,4.79,89.57,50.74
525,100.0,4.79,89.57,50.74
530,100.0,4.79,89.57,50.74
535,100.0,4.79,89.57,50.74
540,100.0,4.79,89.57,50.74
545,100.0,4.79,89.57,50.74
550,100.0,4.79,89.57,50.74
555,100.0,4.79,89.57,50.74
560,100.0,4.79,89.57,50.74
565,100.0,4.79,89.57,50.74
570,100.0,4.79,89.57,50.74
575,28.12,4.79,89.57,50.74
580,4.31,4.79,89.57,50.74
585,4.31,4.79,89.57,50.74
590,4.31,4.79,89.57,50.74
595,4.31,4.79,89.57,50.74
600,4.31,4.48,89.46,50.24
605,4.31,4.48,89.46,50.24
610,4.31,4.48,89.46,50.24
615,4.31,4.48,89.46,50.24
620,4.31,4.48,89.46,50.24
625,4.31,4.48,89.46,50.24
630,4.31,4.48,89.56,12.07
635,4.31,4.48,75.46,0.58
640,100.0,99.59,10.1,99.96
645,100.0,99.59,10.1,99.96
650,100.0,99.58,10.1,99.96
655,100.0,99.58,10.1,99.96
660,100.0,99.58,10.17,99.96
665,100.0,99.57,10.16,99.96
670,100.0,99.57,10.15,99.96
675,100.0,99.57,10.15,99.96
680,100.0,99.57,10.15,99.96
685,100.0,99.57,10.04,99.96
690,100.0,99.56,10.03,99.96
695,99.99,99.56,10.03,99.96
700,99.99,99.56,10.03,99.96
705,99.99,99.56,10.03,99.96
710,99.99,99.56,10.03,99.96
715,99.99,99.56,10.03,99.96
720,99.99,99.56,10.03,99.96
725,65.0,99.55,10.51,99.96
730,30.29,99.55,10.51,99.96
735,4.31,99.55,10.51,99.96
740,4.31,99.55,10.51,99.96
745,4.31,99.55,10.51,99.96
750,4.31,93.71,10.51,99.96
755,4.31,4.48,10.51,99.96
760,4.31,4.48,10.51,99.96
765,4.31,4.48,10.51,99.96
770,4.31,4.48,10.51,99.96
775,4.31,4.48,10.51,99.96
780,4.31,4.48,10.51,99.96
785,4.31,4.48,10.51,99.96
790,4.31,4.48,10.51,99.96
795,4.31,4.48,10.51,99.96
800,4.31,4.48,10.51,99.96
805,4.31,4.48,10.51,99.96
810,4.31,4.48,10.51,99.96
815,4.31,4.48,10.51,99.96
820,4.31,4.48,10.51,99.96
825,4.31,4.48,10.51,99.96
830,4.31,4.48,10.51,99.96
835,4.31,4.48,10.51,99.96
840,4.31,4.48,10.51,99.96
845,99.99,99.54,10.51,99.96
850,99.99,99.54,10.51,99.96
855,99.99,99.54,10.51,99.96
860,99.99,99.54,10.51,99.96
865,99.99,99.54,10.51,99.96
870,99.99,99.54,10.51,99.96
875,99.99,99.54,10.51,99.96
880,99.99,99.54,10.51,99.96
885,99.99,99.54,10.51,99.96
890,99.99,99.54,10.51,99.96
895,99.99,99.54,10.51,99.96
900,99.99,99.54,10.51,99.96
905,99.99,99.54,10.51,99.96
910,99.99,77.03,10.51,99.96
915,26.41,4.48,10.51,99.96
920,4.31,4.48,10.51,99.96
925,4.31,4.48,10.51,99.96
930,4.31,4.48,10.51,99.96
935,4.31,4.48,10.51,99.96
940,4.31,4.48,10.51,99.96
945,99.99,4.48,10.32,99.96
950,99.99,4.48,9.54,99.96
955,99.99,4.48,9.54,99.96
960,99.99,4.48,9.54,99.96
965,99.99,4.48,9.54,99.96
970,99.99,4.48,9.54,99.96
975,99.99,4.48,9.54,91.91
980,99.99,4.48,9.54,58.79
985,99.99,4.48,9.54,58.79
990,99.99,4.6,8.53,58.79
995,99.99,4.48,7.85,99.96
1000,99.99,4.48,7.85,99.96
1005,66.13,4.48,7.85,99.96
1010,4.31,4.48,7.85,85.1
1015,4.31,4.48,7.85,58.78
1020,4.31,4.48,7.85,58.78
1025,4.31,4.48,7.85,58.78
1030,4.31,4.48,7.85,58.78
1035,4.31,4.48,7.85,58.78
1040,4.31,4.48,7.85,58.78
1045,4.31,4.48,7.85,58.78
1050,4.31,4.48,7.85,58.78
1055,4.31,4.48,7.95,58.78
1060,4.31,4.48,7.95,58.78
1065,4.31,4.48,7.95,58.77
1070,4.31,4.48,7.95,58.77
1075,4.31,4.48,7.95,58.77
1080,4.31,4.48,7.95,58.77
1085,4.31,4.48,7.95,58.77
1090,4.31,4.48,7.95,58.77
1095,4.31,4.48,7.95,58.77
1100,4.31,4.48,7.95,58.77
1105,4.31,4.48,7.95,58.77
