ts,hefei,ningbo,wenzhou,wuhan,wuxi
50,16.31,21.41,11.77,8.57,100.0
55,16.31,11.75,11.77,8.54,100.0
60,16.31,100.0,100.0,12.07,100.0
65,16.31,100.0,100.0,10.51,100.0
70,16.31,100.0,100.0,10.38,100.0
75,16.31,100.0,100.0,10.38,100.0
80,16.31,100.0,100.0,10.38,100.0
85,16.31,100.0,100.0,10.38,100.0
90,16.31,100.0,100.0,10.38,100.0
95,16.31,100.0,73.63,10.38,100.0
100,16.31,100.0,100.0,10.39,100.0
105,16.31,100.0,100.0,10.38,100.0
110,16.31,100.0,100.0,10.47,100.0
115,16.31,100.0,100.0,10.86,100.0
120,33.23,100.0,90.77,12.41,100.0
125,16.31,100.0,11.77,12.59,100.0
130,33.01,100.0,11.77,12.67,100.0
135,100.0,100.0,11.77,12.68,100.0
140,100.0,100.0,78.18,12.2,100.0
145,100.0,100.0,100.0,11.93,100.0
150,100.0,100.0,100.0,11.75,100.0
155,100.0,100.0,100.0,11.75,100.0
160,100.0,100.0,100.0,11.75,100.0
165,100.0,100.0,100.0,11.67,100.0
170,100.0,100.0,100.0,11.51,100.0
175,100.0,100.0,100.0,11.51,100.0
180,100.0,100.0,100.0,11.49,100.0
185,100.0,100.0,100.0,11.51,100.0
190,100.0,100.0,100.0,11.51,100.0
195,100.0,100.0,100.0,11.51,100.0
200,100.0,100.0,43.13,11.51,100.0
205,100.0,100.0,11.77,11.51,100.0
210,100.0,100.0,11.77,11.51,100.0
215,100.0,100.0,11.77,11.51,100.0
220,100.0,100.0,11.77,11.51,100.0
225,100.0,100.0,11.77,11.51,100.0
230,100.0,100.0,100.0,9.58,100.0
235,100.0,100.0,100.0,10.01,100.0
240,93.62,100.0,15.87,9.88,100.0
245,100.0,100.0,11.77,9.88,100.0
250,100.0,100.0,11.77,9.88,100.0
255,100.0,100.0,11.77,9.88,100.0
260,100.0,100.0,11.77,9.92,100.0
265,100.0,100.0,11.77,9.76,100.0
270,100.0,100.0,11.77,9.76,100.0
275,100.0,100.0,11.77,9.76,100.0
280,100.0,100.0,11.77,9.76,100.0
285,100.0,100.0,11.77,9.76,100.0
290,100.0,100.0,11.77,9.6,100.0
295,100.0,100.0,11.77,9.5,100.0
300,100.0,100.0,100.0,100.0,100.0
305,100.0,100.0,100.0,100.0,100.0
310,100.0,100.0,100.0,100.0,100.0
315,100.0,100.0,100.0,100.0,100.0
320,100.0,100.0,100.0,100.0,100.0
325,100.0,100.0,100.0,100.0,100.0
330,100.0,100.0,100.0,100.0,100.0
335,100.0,100.0,100.0,100.0,100.0
340,100.0,100.0,100.0,100.0,100.0
345,100.0,100.0,100.0,100.0,100.0
350,100.0,100.0,100.0,100.0,100.0
355,100.0,100.0,100.0,100.0,100.0
360,100.0,100.0,100.0,100.0,100.0
365,100.0,100.0,100.0,100.0,100.0
370,100.0,100.0,100.0,100.0,100.0
375,100.0,100.0,100.0,100.0,100.0
380,100.0,100.0,100.0,100.0,100.0
385,100.0,100.0,100.0,100.0,100.0
390,45.21,100.0,100.0,100.0,100.0
395,16.31,100.0,11.77,100.0,100.0
400,16.31,100.0,11.77,100.0,100.0
405,16.31,100.0,11.77,100.0,100.0
410,16.31,100.0,11.77,100.0,100.0
415,16.31,100.0,11.77,100.0,100.0
420,16.31,100.0,11.77,100.0,100.0
425,16.31,100.0,11.77,100.0,100.0
