ts,haerbin,jinan,shenyang,shijiazhuang,taiyuan,tianjin,wulanchabu
50,8.99,7.44,12.51,44.64,20.52,9.3,1.13
55,8.99,7.44,12.51,44.64,20.52,9.3,1.13
60,8.99,7.44,12.51,44.64,20.52,9.3,1.13
65,8.99,7.44,12.51,44.64,20.52,9.3,1.13
70,8.99,7.44,12.51,44.64,20.52,9.3,1.13
75,8.99,7.44,12.51,44.64,20.52,9.3,1.13
80,8.99,7.44,12.51,44.64,20.52,9.3,1.13
85,8.99,7.44,12.51,44.64,20.52,9.3,1.13
90,8.99,7.44,12.51,44.64,20.52,9.3,1.13
95,8.99,7.44,12.51,44.64,20.52,9.3,1.13
100,8.99,7.44,12.51,44.64,20.52,9.3,1.13
105,8.99,7.44,12.51,44.64,20.52,9.3,1.13
110,8.99,7.44,12.51,44.64,20.52,9.3,1.13
115,8.99,7.44,12.51,44.64,20.52,9.3,1.13
120,8.99,7.44,12.51,44.64,20.52,9.3,1.13
125,8.99,7.44,12.51,44.64,20.52,9.3,1.13
130,8.99,7.44,12.51,44.64,20.52,9.3,1.13
135,8.99,7.44,12.51,44.64,20.52,9.3,1.13
140,8.99,7.44,12.51,44.64,20.52,9.3,1.13
145,8.99,7.44,12.51,44.64,20.52,9.3,1.13
150,8.99,7.44,12.51,44.64,20.52,9.3,1.13
155,8.99,7.44,12.51,44.64,20.52,9.3,1.13
160,8.99,7.44,12.51,44.64,20.52,9.3,1.13
165,8.99,7.44,12.51,44.64,20.52,9.3,1.13
170,8.99,7.44,12.51,44.64,20.52,9.3,1.13
175,8.99,7.44,12.51,44.64,20.52,9.3,1.13
180,8.99,7.44,12.51,44.64,20.52,9.3,1.13
185,8.99,7.44,12.51,44.64,20.52,9.3,1.13
190,8.99,7.44,12.51,44.64,20.52,9.3,1.13
195,8.99,7.44,12.51,44.64,20.52,9.3,1.13
200,8.99,7.44,12.51,44.64,20.52,9.3,1.13
205,8.99,7.44,12.51,44.64,20.52,9.3,1.13
210,8.99,7.44,12.51,44.64,20.52,9.3,1.13
215,8.99,7.44,12.51,44.64,20.52,9.3,1.13
220,8.99,7.44,12.51,44.64,20.52,9.3,1.13
225,8.99,7.44,12.51,44.64,20.52,9.3,1.13
230,8.99,7.44,12.51,44.64,20.52,9.3,1.13
235,8.99,7.44,12.51,44.64,20.52,9.3,1.13
240,8.99,7.44,12.51,44.64,20.52,9.3,1.13
245,8.99,7.44,12.51,44.64,20.52,9.3,1.13
250,8.99,7.44,12.51,44.64,20.52,9.3,1.13
255,8.99,7.44,12.51,44.64,20.52,9.3,1.13
260,8.99,7.44,12.51,44.64,20.52,9.3,1.13
265,8.99,7.44,12.51,44.64,20.52,9.3,1.13
270,8.99,7.44,12.51,44.64,20.52,9.3,1.13
275,8.99,7.44,12.51,44.64,20.52,9.3,1.13
280,8.99,7.44,12.51,44.64,20.52,9.3,1.13
285,8.99,7.44,12.51,44.64,20.52,9.3,1.13
290,8.99,7.44,12.51,44.64,20.52,9.3,1.13
295,8.99,7.44,12.51,44.64,20.52,9.3,1.13
300,8.99,7.44,12.51,44.64,20.52,9.3,1.13
305,8.99,7.44,12.51,44.64,20.52,9.3,1.13
310,8.99,7.44,12.51,44.64,20.52,9.3,1.13
315,8.99,7.44,12.51,44.64,20.52,9.3,1.13
320,8.99,7.44,12.51,44.64,20.52,9.3,1.13
325,8.99,7.44,12.51,44.64,20.52,9.3,1.13
330,8.99,7.44,12.51,44.64,20.52,9.3,1.13
335,8.99,7.44,12.51,44.64,20.52,9.3,1.13
340,8.99,7.44,12.51,44.64,20.52,9.3,1.13
345,8.99,7.44,12.51,44.64,20.52,9.3,1.13
350,8.99,7.44,12.51,44.64,20.52,9.3,1.13
355,8.99,7.44,12.51,44.64,20.52,9.3,1.13
360,8.99,7.44,12.51,44.64,20.52,9.3,1.13
365,8.99,7.44,12.51,44.64,20.52,9.3,1.13
370,8.99,7.44,12.51,44.64,20.52,9.3,1.13
375,8.99,7.44,12.51,44.64,20.52,9.3,1.13
380,8.99,7.44,12.51,44.64,20.52,9.3,1.13
385,8.99,7.44,12.51,44.64,20.52,9.3,1.13
390,8.99,7.44,12.51,44.64,20.52,9.3,1.13
395,8.99,7.44,12.51,44.64,20.52,9.3,1.13
400,8.99,7.44,12.51,44.64,20.52,9.3,1.13
405,8.99,7.44,12.51,44.64,20.52,9.3,1.13
410,8.99,7.44,12.51,44.64,20.52,9.3,1.13
415,8.99,7.44,12.51,44.64,20.52,9.3,1.13
420,8.99,7.44,12.51,44.64,20.52,9.3,1.13
425,8.99,7.44,12.51,44.64,20.52,9.3,1.13
430,8.99,7.44,12.51,44.64,20.52,9.3,1.13
435,8.99,7.44,12.51,44.64,20.52,9.3,1.13
440,8.99,7.44,12.51,44.64,20.52,9.3,1.13
445,8.99,7.44,12.51,44.64,20.52,9.3,1.13
450,8.99,7.44,12.51,44.64,20.52,9.3,1.13
455,8.99,7.44,12.51,44.64,20.52,9.3,1.13
460,8.99,7.44,12.51,44.64,20.52,9.3,1.13
465,8.99,7.44,12.51,44.64,20.52,9.3,1.13
470,8.99,7.44,12.51,44.64,20.52,9.3,1.13
475,8.99,7.44,12.51,44.64,20.52,9.3,1.13
480,8.99,7.44,12.51,44.64,20.52,9.3,1.13
485,8.99,7.44,12.51,44.64,20.52,9.3,1.13
490,8.99,7.44,12.51,44.64,20.52,9.3,1.13
495,8.99,7.44,12.51,44.64,20.52,9.3,1.13
500,8.99,7.44,12.51,44.64,20.52,9.3,1.13
505,8.99,7.44,12.51,44.64,20.52,9.3,1.13
510,8.99,7.44,12.51,44.64,20.52,9.3,1.13
515,8.99,7.44,12.51,44.64,20.52,9.3,1.13
520,8.99,7.44,12.51,44.64,20.52,9.3,1.13
525,8.99,7.44,12.51,44.64,20.52,9.3,1.13
530,8.99,7.44,12.51,44.64,20.52,9.3,1.13
535,8.99,7.44,12.51,44.64,20.52,9.3,1.13
540,8.99,7.44,12.51,44.64,20.52,9.3,1.13
545,8.99,7.44,12.51,44.64,20.52,9.3,1.13
550,8.99,7.44,12.51,44.64,20.52,9.3,1.13
555,8.99,7.44,12.51,44.64,20.52,9.3,1.13
560,8.99,7.44,12.51,44.64,20.52,9.3,1.13
565,8.99,7.44,12.51,44.64,20.52,9.3,1.13
570,8.99,7.44,12.51,44.64,20.52,9.3,1.13
575,8.99,7.44,12.51,44.64,20.52,9.3,1.13
580,8.99,7.44,12.51,44.64,20.52,9.3,1.13
585,8.99,7.44,12.51,44.64,20.52,9.3,1.13
590,8.99,7.44,12.51,44.64,20.52,9.3,1.13
595,8.99,7.44,12.51,44.64,20.52,9.3,1.13
600,10.03,7.54,13.71,44.04,19.95,8.69,1.11
605,10.03,7.54,13.71,44.04,19.95,8.69,1.11
610,10.03,7.54,13.71,44.04,19.95,8.69,1.11
615,10.03,7.54,13.71,44.04,19.95,8.69,1.11
620,10.03,7.54,13.71,44.04,19.95,8.69,1.11
625,10.03,7.54,13.71,44.04,19.95,8.69,1.11
630,10.03,7.54,13.71,44.04,19.95,8.69,1.11
635,10.03,7.54,13.71,44.04,19.95,8.69,1.11
640,10.03,7.54,13.71,44.04,19.95,8.69,1.11
645,10.03,7.54,13.71,44.04,19.95,8.69,1.11
650,10.03,7.54,13.71,44.04,19.95,8.69,1.11
655,10.03,7.54,13.71,44.04,19.95,8.69,1.11
660,10.03,7.54,13.71,44.04,19.95,8.69,1.11
665,10.03,7.54,13.71,44.04,19.95,8.69,1.11
670,10.03,7.54,13.71,44.04,19.95,8.69,1.11
675,10.03,7.54,13.71,44.04,19.95,8.69,1.11
680,10.03,7.54,13.71,44.04,19.95,8.69,1.11
685,10.03,7.54,13.71,44.04,19.95,8.69,1.11
690,10.03,7.54,13.71,44.04,19.95,8.69,1.11
695,10.03,7.54,13.71,44.04,19.95,8.69,1.11
700,10.03,7.54,13.71,44.04,19.95,8.69,1.11
705,10.03,7.54,13.71,44.04,19.95,8.69,1.11
710,10.03,7.54,13.71,44.04,19.95,8.69,1.11
715,10.03,7.54,13.71,44.04,19.95,8.69,1.11
720,10.03,7.54,13.71,44.04,19.95,8.69,1.11
725,10.03,7.54,13.71,44.04,19.95,8.69,1.11
730,10.03,7.54,13.71,44.04,19.95,8.69,1.11
735,10.03,7.54,13.71,44.04,19.95,8.69,1.11
