ts,changsha,foshan,fuzhou,guangzhou,guiyang,kunming,nanchang,nanning,xiamen
50,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
55,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
60,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
65,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
70,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
75,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
80,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
85,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
90,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
95,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
100,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
105,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
110,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
115,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
120,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
125,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
130,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
135,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
140,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
145,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
150,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
155,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
160,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
165,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
170,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
175,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
180,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
185,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
190,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
195,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
200,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
205,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
210,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
215,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
220,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
225,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
230,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
235,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
240,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
245,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
250,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
255,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
260,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
265,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
270,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
275,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
280,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
285,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
290,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
295,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
300,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
305,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
310,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
315,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
320,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
325,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
330,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
335,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
340,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
345,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
350,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
355,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
360,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
365,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
370,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
375,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
380,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
385,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
390,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
395,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
400,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
405,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
410,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
415,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
420,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
425,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
430,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
435,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
440,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
445,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
450,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
455,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
460,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
465,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
470,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
475,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
480,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
485,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
490,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
495,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
500,18.28,0.11,23.96,7.1,25.86,11.75,5.12,19.25,10.13
