ts,hefei,ningbo,wenzhou,wuhan,wuxi
50,24.54,14.95,24.69,23.41,1.46
55,24.54,14.95,24.69,23.41,1.46
60,24.54,14.95,24.69,23.41,1.46
65,24.54,14.95,24.69,23.41,1.46
70,24.54,14.95,24.69,23.41,1.46
75,24.54,14.95,24.69,23.41,1.46
80,24.54,14.95,24.69,23.41,1.46
85,24.54,14.95,24.69,23.41,1.46
90,24.54,14.95,24.69,23.41,1.46
95,24.54,14.95,24.69,23.41,1.46
100,24.54,14.95,24.69,23.41,1.46
105,24.54,14.95,24.69,23.41,1.46
110,24.54,14.95,24.69,23.41,1.46
115,24.54,14.95,24.69,23.41,1.46
120,24.54,14.95,24.69,23.41,1.46
125,24.54,14.95,24.69,23.41,1.46
130,24.54,14.95,24.69,23.41,1.46
135,24.54,14.95,24.69,23.41,1.46
140,24.54,14.95,24.69,23.41,1.46
145,24.54,14.95,24.69,23.41,1.46
150,24.54,14.95,24.69,23.41,1.46
155,24.54,14.95,24.69,23.41,1.46
160,24.54,14.95,24.69,23.41,1.46
165,24.54,14.95,24.69,23.41,1.46
170,24.54,14.95,24.69,23.41,1.46
175,24.54,14.95,24.69,23.41,1.46
180,24.54,14.95,24.69,23.41,1.46
185,24.54,14.95,24.69,23.41,1.46
190,24.54,14.95,24.69,23.41,1.46
195,24.54,14.95,24.69,23.41,1.46
200,24.54,14.95,24.69,23.41,1.46
205,24.54,14.95,24.69,23.41,1.46
210,24.54,14.95,24.69,23.41,1.46
215,24.54,14.95,24.69,23.41,1.46
220,24.54,14.95,24.69,23.41,1.46
225,24.54,14.95,24.69,23.41,1.46
230,24.54,14.95,24.69,23.41,1.46
235,24.54,14.95,24.69,23.41,1.46
240,24.54,14.95,24.69,23.41,1.46
245,24.54,14.95,24.69,23.41,1.46
250,24.54,14.95,24.69,23.41,1.46
255,24.54,14.95,24.69,23.41,1.46
260,24.54,14.95,24.69,23.41,1.46
265,24.54,14.95,24.69,23.41,1.46
270,24.54,14.95,24.69,23.41,1.46
275,24.54,14.95,24.69,23.41,1.46
280,24.54,14.95,24.69,23.41,1.46
285,24.54,14.95,24.69,23.41,1.46
290,24.54,14.95,24.69,23.41,1.46
295,24.54,14.95,24.69,23.41,1.46
300,24.54,14.95,24.69,23.41,1.46
305,24.54,14.95,24.69,23.41,1.46
310,24.54,14.95,24.69,23.41,1.46
315,24.54,14.95,24.69,23.41,1.46
320,24.54,14.95,24.69,23.41,1.46
325,24.54,14.95,24.69,23.41,1.46
330,24.54,14.95,24.69,23.41,1.46
335,24.54,14.95,24.69,23.41,1.46
340,24.54,14.95,24.69,23.41,1.46
345,24.54,14.95,24.69,23.41,1.46
350,24.54,14.95,24.69,23.41,1.46
355,24.54,14.95,24.69,23.41,1.46
