ts,changchun,haerbin,jinan,shenyang,taiyuan,tianjin,wulanchabu
50,24.59,2.77,4.52,6.37,42.93,5.27,50.94
55,24.59,2.77,4.52,6.37,42.93,5.27,50.94
60,24.59,2.77,4.52,6.37,42.93,5.27,50.94
65,24.59,2.77,4.52,6.37,42.93,5.27,50.94
70,24.59,2.77,4.52,6.37,42.93,5.27,50.94
75,24.59,2.77,4.52,6.37,42.93,5.27,50.94
80,24.59,2.77,4.52,6.37,42.93,5.27,50.94
85,24.59,2.77,4.52,6.37,42.93,5.27,50.94
90,24.59,2.77,4.52,6.37,42.93,5.27,50.94
95,24.59,2.77,4.52,6.37,42.93,5.27,50.94
100,24.59,2.77,4.52,6.37,42.93,5.27,50.94
105,24.59,2.77,4.52,6.37,42.93,5.27,50.94
110,24.59,2.77,4.52,6.37,42.93,5.27,50.94
115,24.59,2.77,4.52,6.37,42.93,5.27,50.94
120,24.59,2.77,4.52,6.37,42.93,5.27,50.94
125,24.59,2.77,4.52,6.37,42.93,5.27,50.94
130,24.59,2.77,4.52,6.37,42.93,5.27,50.94
135,24.59,2.77,4.52,6.37,42.93,5.27,50.94
140,24.59,2.77,4.52,6.37,42.93,5.27,50.94
145,24.59,2.77,4.52,6.37,42.93,5.27,50.94
150,24.59,2.77,4.52,6.37,42.93,5.27,50.94
155,24.59,2.77,4.52,6.37,42.93,5.27,50.94
160,24.59,2.77,4.52,6.37,42.93,5.27,50.94
165,24.59,2.77,4.52,6.37,42.93,5.27,50.94
170,24.59,2.77,4.52,6.37,42.93,5.27,50.94
175,24.59,2.77,4.52,6.37,42.93,5.27,50.94
180,24.59,2.77,4.52,6.37,42.93,5.27,50.94
185,24.59,2.77,4.52,6.37,42.93,5.27,50.94
190,24.59,2.77,4.52,6.37,42.93,5.27,50.94
195,24.59,2.77,4.52,6.37,42.93,5.27,50.94
200,24.59,2.77,4.52,6.37,42.93,5.27,50.94
205,24.59,2.77,4.52,6.37,42.93,5.27,50.94
210,24.59,2.77,4.52,6.37,42.93,5.27,50.94
215,24.59,2.77,4.52,6.37,42.93,5.27,50.94
220,24.59,2.77,4.52,6.37,42.93,5.27,50.94
225,24.59,2.77,4.52,6.37,42.93,5.27,50.94
230,24.59,2.77,4.52,6.37,42.93,5.27,50.94
235,24.59,2.77,4.52,6.37,42.93,5.27,50.94
240,24.59,2.77,4.52,6.37,42.93,5.27,50.94
245,24.59,2.77,4.52,6.37,42.93,5.27,50.94
250,24.59,2.77,4.52,6.37,42.93,5.27,50.94
255,24.59,2.77,4.52,6.37,42.93,5.27,50.94
260,24.59,2.77,4.52,6.37,42.93,5.27,50.94
265,24.59,2.77,4.52,6.37,42.93,5.27,50.94
270,24.59,2.77,4.52,6.37,42.93,5.27,50.94
275,24.59,2.77,4.52,6.37,42.93,5.27,50.94
280,24.59,2.77,4.52,6.37,42.93,5.27,50.94
285,24.59,2.77,4.52,6.37,42.93,5.27,50.94
290,24.59,2.77,4.52,6.37,42.93,5.27,50.94
295,24.59,2.77,4.52,6.37,42.93,5.27,50.94
300,24.59,2.77,4.52,6.37,42.93,5.27,50.94
305,24.59,2.77,4.52,6.37,42.93,5.27,50.94
310,24.59,2.77,4.52,6.37,42.93,5.27,50.94
315,24.59,2.77,4.52,6.37,42.93,5.27,50.94
320,24.59,2.77,4.52,6.37,42.93,5.27,50.94
325,24.59,2.77,4.52,6.37,42.93,5.27,50.94
330,24.59,2.77,4.52,6.37,42.93,5.27,50.94
335,24.59,2.77,4.52,6.37,42.93,5.27,50.94
340,24.59,2.77,4.52,6.37,42.93,5.27,50.94
345,24.59,2.77,4.52,6.37,42.93,5.27,50.94
350,24.59,2.77,4.52,6.37,42.93,5.27,50.94
355,24.59,2.77,4.52,6.37,42.93,5.27,50.94
360,24.59,2.77,4.52,6.37,42.93,5.27,50.94
365,24.59,2.77,4.52,6.37,42.93,5.27,50.94
370,24.59,2.77,4.52,6.37,42.93,5.27,50.94
375,24.59,2.77,4.52,6.37,42.93,5.27,50.94
380,24.59,2.77,4.52,6.37,42.93,5.27,50.94
385,24.59,2.77,4.52,6.37,42.93,5.27,50.94
390,24.59,2.77,4.52,6.37,42.93,5.27,50.94
395,24.59,2.77,4.52,6.37,42.93,5.27,50.94
400,24.59,2.77,4.52,6.37,42.93,5.27,50.94
405,24.59,2.77,4.52,6.37,42.93,5.27,50.94
410,24.59,2.77,4.52,6.37,42.93,5.27,50.94
415,24.59,2.77,4.52,6.37,42.93,5.27,50.94
420,24.59,2.77,4.52,6.37,42.93,5.27,50.94
425,24.59,2.77,4.52,6.37,42.93,5.27,50.94
430,24.59,2.77,4.52,6.37,42.93,5.27,50.94
435,24.59,2.77,4.52,6.37,42.93,5.27,50.94
440,24.59,2.77,4.52,6.37,42.93,5.27,50.94
445,24.59,2.77,4.52,6.37,42.93,5.27,50.94
450,24.59,2.77,4.52,6.37,42.93,5.27,50.94
455,24.59,2.77,4.52,6.37,42.93,5.27,50.94
460,24.59,2.77,4.52,6.37,42.93,5.27,50.94
465,24.59,2.77,4.52,6.37,42.93,5.27,50.94
470,24.59,2.77,4.52,6.37,42.93,5.27,50.94
475,24.59,2.77,4.52,6.37,42.93,5.27,50.94
480,24.59,2.77,4.52,6.37,42.93,5.27,50.94
485,24.59,2.77,4.52,6.37,42.93,5.27,50.94
490,24.59,2.77,4.52,6.37,42.93,5.27,50.94
495,24.59,2.77,4.52,6.37,42.93,5.27,50.94
500,24.59,2.77,4.52,6.37,42.93,5.27,50.94
505,24.59,2.77,4.52,6.37,42.93,5.27,50.94
510,24.59,2.77,4.52,6.37,42.93,5.27,50.94
515,24.59,2.77,4.52,6.37,42.93,5.27,50.94
520,24.59,2.77,4.52,6.37,42.93,5.27,50.94
525,24.59,2.77,4.52,6.37,42.93,5.27,50.94
530,24.59,2.77,4.52,6.37,42.93,5.27,50.94
535,24.59,2.77,4.52,6.37,42.93,5.27,50.94
540,24.59,2.77,4.52,6.37,42.93,5.27,50.94
545,24.59,2.77,4.52,6.37,42.93,5.27,50.94
550,24.59,2.77,4.52,6.37,42.93,5.27,50.94
555,24.59,2.77,4.52,6.37,42.93,5.27,50.94
560,24.59,2.77,4.52,6.37,42.93,5.27,50.94
565,24.59,2.77,4.52,6.37,42.93,5.27,50.94
570,24.59,2.77,4.52,6.37,42.93,5.27,50.94
575,24.59,2.77,4.52,6.37,42.93,5.27,50.94
580,24.59,2.77,4.52,6.37,42.93,5.27,50.94
585,24.59,2.77,4.52,6.37,42.93,5.27,50.94
590,24.59,2.77,4.52,6.37,42.93,5.27,50.94
595,24.59,2.77,4.52,6.37,42.93,5.27,50.94
600,24.59,2.64,4.6,6.51,40.86,5.13,50.33
605,24.59,2.64,4.6,6.51,40.86,5.13,50.33
610,24.59,2.64,4.6,6.51,40.86,5.13,50.33
615,24.59,2.64,4.6,6.51,40.86,5.13,50.33
620,24.59,2.64,4.6,6.51,40.86,5.13,50.33
625,24.59,2.64,4.6,6.51,40.86,5.13,50.33
630,24.59,2.64,4.6,6.51,40.86,5.13,50.33
635,24.59,2.64,4.6,6.51,40.86,5.13,50.33
640,24.59,2.64,4.6,6.51,40.86,5.13,50.33
645,24.59,2.64,4.6,6.51,40.86,5.13,50.33
650,24.59,2.64,4.6,6.51,40.86,5.13,50.33
655,24.59,2.64,4.6,6.51,40.86,5.13,50.33
660,24.59,2.64,4.6,6.51,40.86,5.13,50.33
665,24.59,2.64,4.6,6.51,40.86,5.13,50.33
670,24.59,2.64,4.6,6.51,40.86,5.13,50.33
675,24.59,2.64,4.6,6.51,40.86,5.13,50.33
680,24.59,2.64,4.6,6.51,40.86,5.13,50.33
685,24.59,2.64,4.6,6.51,40.86,5.13,50.33
690,24.59,2.64,4.6,6.51,40.86,5.13,50.33
695,24.59,2.64,4.6,6.51,40.86,5.13,50.33
700,24.59,2.64,4.6,6.51,40.86,5.13,50.33
705,24.59,2.64,4.6,6.51,40.86,5.13,50.33
710,24.59,2.64,4.6,6.51,40.86,5.13,50.33
715,24.59,2.64,4.6,6.51,40.86,5.13,50.33
720,24.59,2.64,4.6,6.51,40.86,5.13,50.33
725,24.59,2.64,4.6,6.51,40.86,5.13,50.33
730,24.59,2.64,4.6,6.51,40.86,5.13,50.33
735,24.59,2.64,4.6,6.51,40.86,5.13,50.33
740,24.59,2.64,4.6,6.51,40.86,5.13,50.33
745,24.59,2.64,4.6,6.51,40.86,5.13,50.33
750,24.59,2.64,4.6,6.51,40.86,5.13,50.33
755,24.59,2.64,4.6,6.51,40.86,5.13,50.33
760,24.59,2.64,4.6,6.51,40.86,5.13,50.33
765,24.59,2.64,4.6,6.51,40.86,5.13,50.33
770,24.59,2.64,4.6,6.51,40.86,5.13,50.33
775,24.59,2.64,4.6,6.51,40.86,5.13,50.33
780,24.59,2.64,4.6,6.51,40.86,5.13,50.33
785,24.59,2.64,4.6,6.51,40.86,5.13,50.33
790,24.59,2.64,4.6,6.51,40.86,5.13,50.33
795,24.59,2.64,4.6,6.51,40.86,5.13,50.33
800,24.59,2.64,4.6,6.51,40.86,5.13,50.33
805,24.59,2.64,4.6,6.51,40.86,5.13,50.33
810,24.59,2.64,4.6,6.51,40.86,5.13,50.33
815,24.59,2.64,4.6,6.51,40.86,5.13,50.33
820,24.59,2.64,4.6,6.51,40.86,5.13,50.33
825,24.59,2.64,4.6,6.51,40.86,5.13,50.33
830,24.59,2.64,4.6,6.51,40.86,5.13,50.33
835,24.59,2.64,4.6,6.51,40.86,5.13,50.33
840,24.59,2.64,4.6,6.51,40.86,5.13,50.33
845,24.59,2.64,4.6,6.51,40.86,5.13,50.33
850,24.59,2.64,4.6,6.51,40.86,5.13,50.33
855,24.59,2.64,4.6,6.51,40.86,5.13,50.33
860,24.59,2.64,4.6,6.51,40.86,5.13,50.33
865,24.59,2.64,4.6,6.51,40.86,5.13,50.33
870,24.59,2.64,4.6,6.51,40.86,5.13,50.33
875,24.59,2.64,4.6,6.51,40.86,5.13,50.33
880,24.59,2.64,4.6,6.51,40.86,5.13,50.33
885,24.59,2.64,4.6,6.51,40.86,5.13,50.33
890,24.59,2.64,4.6,6.51,40.86,5.13,50.33
895,24.59,2.64,4.6,6.51,40.86,5.13,50.33
900,24.59,2.64,4.6,6.51,40.86,5.13,50.33
905,24.59,2.64,4.6,6.51,40.86,5.13,50.33
910,24.59,2.64,4.6,6.51,40.86,5.13,50.33
915,24.59,2.64,4.6,6.51,40.86,5.13,50.33
920,24.59,2.64,4.6,6.51,40.86,5.13,50.33
925,24.59,2.64,4.6,6.51,40.86,5.13,50.33
930,24.59,2.64,4.6,6.51,40.86,5.13,50.33
935,24.59,2.64,4.6,6.51,40.86,5.13,50.33
940,24.59,2.64,4.6,6.51,40.86,5.13,50.33
945,24.59,2.64,4.6,6.51,40.86,5.13,50.33
950,24.59,2.64,4.6,6.51,40.86,5.13,50.33
955,24.59,2.64,4.6,6.51,40.86,5.13,50.33
960,24.59,2.64,4.6,6.51,40.86,5.13,50.33
965,24.59,2.64,4.6,6.51,40.86,5.13,50.33
970,24.59,2.64,4.6,6.51,40.86,5.13,50.33
975,24.59,2.64,4.6,6.51,40.86,5.13,50.33
980,24.59,2.64,4.6,6.51,40.86,5.13,50.33
985,24.59,2.64,4.6,6.51,40.86,5.13,50.33
990,24.59,2.64,4.6,6.51,40.86,5.13,50.33
995,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1000,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1005,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1010,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1015,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1020,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1025,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1030,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1035,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1040,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1045,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1050,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1055,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1060,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1065,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1070,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1075,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1080,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1085,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1090,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1095,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1100,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1105,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1110,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1115,24.59,2.64,4.6,6.51,40.86,5.13,50.33
1120,24.59,2.64,4.6,6.51,40.86,5.13,50.33
