ts,changsha,foshan,fuzhou,guangzhou,guiyang,kunming,nanchang,nanning,xiamen
50,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
55,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
60,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
65,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
70,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
75,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
80,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
85,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
90,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
95,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
100,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
105,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
110,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
115,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
120,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
125,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
130,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
135,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
140,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
145,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
150,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
155,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
160,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
165,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
170,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
175,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
180,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
185,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
190,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
195,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
200,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
205,1.14,3.71,0.5,43.68,8.63,59.99,0.1,26.86,8.95
