ts,hefei,ningbo,wuhan,wuxi
50,9.9,29.85,12.15,3.11
55,9.9,29.85,12.15,3.11
60,9.9,29.85,12.15,3.11
65,9.9,29.85,12.15,3.11
70,9.9,29.85,12.15,3.11
75,9.9,29.85,12.15,3.11
80,9.9,29.85,12.15,3.11
85,9.9,29.85,12.15,3.11
90,9.9,29.85,12.15,3.11
95,9.9,29.85,12.15,3.11
100,9.9,29.85,12.15,3.11
105,9.9,29.85,12.15,3.11
110,9.9,29.85,12.15,3.11
115,9.9,29.85,12.15,3.11
120,9.9,29.85,12.15,3.11
125,9.9,29.85,12.15,3.11
130,9.9,29.85,12.15,3.11
135,9.9,29.85,12.15,3.11
140,9.9,29.85,12.15,3.11
145,9.9,29.85,12.15,3.11
150,9.9,29.85,12.15,3.11
155,9.9,29.85,12.15,3.11
160,9.9,29.85,12.15,3.11
165,9.9,29.85,12.15,3.11
170,9.9,29.85,12.15,3.11
175,9.9,29.85,12.15,3.11
180,9.9,29.85,12.15,3.11
185,9.9,29.85,12.15,3.11
190,9.9,29.85,12.15,3.11
195,9.9,29.85,12.15,3.11
200,9.9,29.85,12.15,3.11
205,9.9,29.85,12.15,3.11
210,9.9,29.85,12.15,3.11
215,9.9,29.85,12.15,3.11
220,9.9,29.85,12.15,3.11
225,9.9,29.85,12.15,3.11
230,9.9,29.85,12.15,3.11
235,9.9,29.85,12.15,3.11
240,9.9,29.85,12.15,3.11
245,9.9,29.85,12.15,3.11
250,9.9,29.85,12.15,3.11
255,9.9,29.85,12.15,3.11
260,9.9,29.85,12.15,3.11
265,9.9,29.85,12.15,3.11
270,9.9,29.85,12.15,3.11
275,9.9,29.85,12.15,3.11
280,9.9,29.85,12.15,3.11
285,9.9,29.85,12.15,3.11
290,9.9,29.85,12.15,3.11
295,9.9,29.85,12.15,3.11
300,9.9,29.85,12.15,3.11
305,9.9,29.85,12.15,3.11
310,9.9,29.85,12.15,3.11
315,9.9,29.85,12.15,3.11
320,9.9,29.85,12.15,3.11
325,9.9,29.85,12.15,3.11
330,9.9,29.85,12.15,3.11
335,9.9,29.85,12.15,3.11
340,9.9,29.85,12.15,3.11
345,9.9,29.85,12.15,3.11
350,9.9,29.85,12.15,3.11
355,9.9,29.85,12.15,3.11
360,9.9,29.85,12.15,3.11
365,9.9,29.85,12.15,3.11
370,9.9,29.85,12.15,3.11
375,9.9,29.85,12.15,3.11
380,9.9,29.85,12.15,3.11
385,9.9,29.85,12.15,3.11
390,9.9,29.85,12.15,3.11
395,9.9,29.85,12.15,3.11
400,9.9,29.85,12.15,3.11
405,9.9,29.85,12.15,3.11
410,9.9,29.85,12.15,3.11
415,9.9,29.85,12.15,3.11
420,9.9,29.85,12.15,3.11
425,9.9,29.85,12.15,3.11
430,9.9,29.85,12.15,3.11
435,9.9,29.85,12.15,3.11
440,9.9,29.85,12.15,3.11
445,9.9,29.85,12.15,3.11
450,9.9,29.85,12.15,3.11
455,9.9,29.85,12.15,3.11
460,9.9,29.85,12.15,3.11
465,9.9,29.85,12.15,3.11
470,9.9,29.85,12.15,3.11
475,9.9,29.85,12.15,3.11
480,9.9,29.85,12.15,3.11
485,9.9,29.85,12.15,3.11
490,9.9,29.85,12.15,3.11
495,9.9,29.85,12.15,3.11
500,9.9,29.85,12.15,3.11
505,9.9,29.85,12.15,3.11
510,9.9,29.85,12.15,3.11
515,9.9,29.85,12.15,3.11
520,9.9,29.85,12.15,3.11
525,9.9,29.85,12.15,3.11
530,9.9,29.85,12.15,3.11
535,9.9,29.85,12.15,3.11
540,9.9,29.85,12.15,3.11
545,9.9,29.85,12.15,3.11
550,9.9,29.85,12.15,3.11
555,9.9,29.85,12.15,3.11
560,9.9,29.85,12.15,3.11
565,9.9,29.85,12.15,3.11
570,9.9,29.85,12.15,3.11
575,9.9,29.85,12.15,3.11
580,9.9,29.85,12.15,3.11
585,9.9,29.85,12.15,3.11
590,9.9,29.85,12.15,3.11
595,9.9,29.85,12.15,3.11
600,9.89,27.88,12.43,2.96
605,9.89,27.88,12.43,2.96
610,9.89,27.88,12.43,2.96
615,9.89,27.88,12.43,2.96
620,9.89,27.88,12.43,2.96
625,9.89,27.88,12.43,2.96
630,9.89,27.88,12.43,2.96
635,9.89,27.88,12.43,2.96
640,9.89,27.88,12.43,2.96
645,9.89,27.88,12.43,2.96
650,9.89,27.88,12.43,2.96
655,9.89,27.88,12.43,2.96
660,9.89,27.88,12.43,2.96
665,9.89,27.88,12.43,2.96
670,9.89,27.88,12.43,2.96
675,9.89,27.88,12.43,2.96
680,9.89,27.88,12.43,2.96
685,9.89,27.88,12.43,2.96
690,9.89,27.88,12.43,2.96
695,9.89,27.88,12.43,2.96
700,9.89,27.88,12.43,2.96
705,9.89,27.88,12.43,2.96
710,9.89,27.88,12.43,2.96
715,9.89,27.88,12.43,2.96
720,9.89,27.88,12.43,2.96
725,9.89,27.88,12.43,2.96
730,9.89,27.88,12.43,2.96
735,9.89,27.88,12.43,2.96
740,9.89,27.88,12.43,2.96
745,9.89,27.88,12.43,2.96
750,9.89,27.88,12.43,2.96
755,9.89,27.88,12.43,2.96
760,9.89,27.88,12.43,2.96
765,9.89,27.88,12.43,2.96
770,9.89,27.88,12.43,2.96
775,9.89,27.88,12.43,2.96
780,9.89,27.88,12.43,2.96
785,9.89,27.88,12.43,2.96
790,9.89,27.88,12.43,2.96
795,9.89,27.88,12.43,2.96
800,9.89,27.88,12.43,2.96
805,9.89,27.88,12.43,2.96
810,9.89,27.88,12.43,2.96
815,9.89,27.88,12.43,2.96
820,9.89,27.88,12.43,2.96
825,9.89,27.88,12.43,2.96
830,9.89,27.88,12.43,2.96
835,9.89,27.88,12.43,2.96
840,9.89,27.88,12.43,2.96
845,9.89,27.88,12.43,2.96
850,9.89,27.88,12.43,2.96
855,9.89,27.88,12.43,2.96
860,9.89,27.88,12.43,2.96
865,9.89,27.88,12.43,2.96
870,9.89,27.88,12.43,2.96
875,9.89,27.88,12.43,2.96
880,9.89,27.88,12.43,2.96
885,9.89,27.88,12.43,2.96
890,9.89,27.88,12.43,2.96
895,9.89,27.88,12.43,2.96
900,9.89,27.88,12.43,2.96
905,9.89,27.88,12.43,2.96
910,9.89,27.88,12.43,2.96
915,9.89,27.88,12.43,2.96
920,9.89,27.88,12.43,2.96
925,9.89,27.88,12.43,2.96
930,9.89,27.88,12.43,2.96
935,9.89,27.88,12.43,2.96
940,9.89,27.88,12.43,2.96
945,9.89,27.88,12.43,2.96
