ts,beijing_dongguan,beijing_nanjing,dongguan_beijing,dongguan_nanjing,nanjing_beijing,nanjing_dongguan
500,0.12,3.05,0.11,2.66,0.91,13.43
505,0.12,3.05,0.11,2.66,0.91,13.43
510,0.12,3.05,0.11,2.66,0.91,13.43
515,0.12,3.05,0.11,2.66,0.91,13.43
520,0.12,3.05,0.11,2.66,0.91,13.43
525,0.12,3.05,0.11,2.66,0.91,13.43
530,0.12,3.05,0.11,2.66,0.91,13.43
535,0.12,3.05,0.11,2.66,0.91,13.43
540,0.12,3.05,0.11,2.66,0.91,13.43
545,0.12,3.05,0.11,2.66,0.91,13.43
550,0.12,3.05,0.11,2.66,0.91,13.43
555,0.12,3.05,0.11,2.66,0.91,13.43
560,0.12,3.05,0.11,2.66,0.91,13.43
565,0.12,3.05,0.11,2.66,0.91,13.43
570,0.12,3.05,0.11,2.66,0.91,13.43
575,0.12,3.05,0.11,2.66,0.91,13.43
580,0.12,3.05,0.11,2.66,0.91,13.43
585,0.12,3.05,0.11,2.66,0.91,13.43
